train_loss_step,epoch,step,test_acc_step,test_acc_epoch,train_loss_epoch
0.9995574951171875,0,49,,,
1.1523144245147705,0,99,,,
1.0330418348312378,0,149,,,
1.1821184158325195,0,199,,,
1.1183054447174072,0,249,,,
1.4919397830963135,0,299,,,
1.4845081567764282,0,349,,,
0.8050822019577026,0,399,,,
1.2071770429611206,0,449,,,
1.2033520936965942,0,499,,,
1.4557634592056274,0,549,,,
0.7136859893798828,0,599,,,
1.0443788766860962,0,649,,,
1.0730876922607422,0,699,,,
0.8443238139152527,0,749,,,
1.2790617942810059,0,799,,,
1.6773737668991089,0,849,,,
0.8053631782531738,0,899,,,
1.1322929859161377,0,949,,,
1.1267880201339722,0,999,,,
0.7998561859130859,0,1049,,,
1.0950038433074951,0,1099,,,
1.2675751447677612,0,1149,,,
0.7702982425689697,0,1199,,,
0.9162268042564392,0,1249,,,
1.0391952991485596,0,1299,,,
1.4572116136550903,0,1349,,,
0.9947212934494019,0,1399,,,
0.8865211009979248,0,1449,,,
1.1060861349105835,0,1499,,,
1.230851411819458,0,1549,,,
0.9473865032196045,0,1599,,,
0.6915895938873291,0,1649,,,
1.5426501035690308,0,1699,,,
0.9398319721221924,0,1749,,,
0.7866662740707397,0,1799,,,
1.2480626106262207,0,1849,,,
0.7533649206161499,0,1899,,,
1.6277997493743896,0,1949,,,
0.6706029176712036,0,1999,,,
0.6608814001083374,0,2049,,,
1.133732795715332,0,2099,,,
0.9708301424980164,0,2149,,,
1.7703951597213745,0,2199,,,
1.364121675491333,0,2249,,,
1.1780579090118408,0,2299,,,
1.3737809658050537,0,2349,,,
0.8843873143196106,0,2399,,,
0.6720610857009888,0,2449,,,
1.6153916120529175,0,2499,,,
1.0381109714508057,0,2549,,,
0.7810615301132202,0,2599,,,
0.894429087638855,0,2649,,,
1.1032726764678955,0,2699,,,
1.399956464767456,0,2749,,,
1.1902319192886353,0,2799,,,
0.5049048066139221,0,2849,,,
0.7209461331367493,0,2899,,,
1.0851361751556396,0,2949,,,
1.4012032747268677,0,2999,,,
0.7624054551124573,0,3049,,,
0.881439208984375,0,3099,,,
0.8045634627342224,0,3149,,,
0.9435237050056458,0,3199,,,
0.6663733124732971,0,3249,,,
0.4842110276222229,0,3299,,,
0.5887869596481323,0,3349,,,
1.0525388717651367,0,3399,,,
0.9427170753479004,0,3449,,,
0.2939748764038086,0,3499,,,
2.6282684803009033,0,3549,,,
1.750718593597412,0,3599,,,
0.7136534452438354,0,3649,,,
1.4080592393875122,0,3699,,,
0.9324287176132202,0,3749,,,
0.9264034032821655,0,3799,,,
1.233886957168579,0,3849,,,
0.5878518223762512,0,3899,,,
1.0430004596710205,0,3949,,,
1.8131325244903564,0,3999,,,
0.8506883978843689,0,4049,,,
1.1828593015670776,0,4099,,,
1.115609049797058,0,4149,,,
1.1315932273864746,0,4199,,,
1.292967677116394,0,4249,,,
1.2911629676818848,0,4299,,,
1.5209605693817139,0,4349,,,
0.6345713138580322,0,4399,,,
1.730470895767212,0,4449,,,
1.033287525177002,0,4499,,,
0.8635674118995667,0,4549,,,
1.5481672286987305,0,4599,,,
1.1874678134918213,0,4649,,,
1.4968880414962769,0,4699,,,
1.017579197883606,0,4749,,,
1.289793610572815,0,4799,,,
1.2056689262390137,0,4849,,,
0.9191089868545532,0,4899,,,
0.4581771194934845,0,4949,,,
1.5575268268585205,0,4999,,,
0.7119399905204773,0,5049,,,
1.3091866970062256,0,5099,,,
1.8344411849975586,0,5149,,,
0.9225078225135803,0,5199,,,
0.7230585217475891,0,5249,,,
0.6375781297683716,0,5299,,,
1.2740554809570312,0,5349,,,
1.1202094554901123,0,5399,,,
1.096879243850708,0,5449,,,
0.8052061796188354,0,5499,,,
0.43021613359451294,0,5549,,,
1.058545470237732,0,5599,,,
1.1731057167053223,0,5649,,,
1.738889455795288,0,5699,,,
0.7090288400650024,0,5749,,,
0.7166253328323364,0,5799,,,
