epoch,step,train_loss_step,test_acc_step,test_acc_epoch,train_loss_epoch
0,49,0.6345006227493286,,,
0,99,0.845431923866272,,,
0,149,1.8788411617279053,,,
0,199,0.9913251399993896,,,
0,249,1.010501742362976,,,
0,299,1.5047032833099365,,,
0,349,1.4617257118225098,,,
0,399,0.772789716720581,,,
0,449,0.8764495849609375,,,
0,499,0.5157480239868164,,,
0,549,1.1876585483551025,,,
0,599,0.8075346350669861,,,
0,649,1.418408989906311,,,
0,699,0.7162221670150757,,,
0,749,0.9469902515411377,,,
0,799,0.8497357964515686,,,
0,849,0.5529775619506836,,,
0,899,0.5884775519371033,,,
0,949,1.5676119327545166,,,
0,999,1.4878127574920654,,,
0,1049,1.6479244232177734,,,
0,1099,0.9185355305671692,,,
0,1149,0.7979087233543396,,,
0,1199,0.824434220790863,,,
0,1249,1.1805717945098877,,,
0,1299,0.8070906400680542,,,
0,1349,1.4851789474487305,,,
0,1399,0.9522374272346497,,,
0,1449,0.9626870155334473,,,
0,1499,0.5748839378356934,,,
0,1549,0.7774774432182312,,,
0,1599,0.7898444533348083,,,
0,1649,0.8219571113586426,,,
0,1699,1.7976722717285156,,,
0,1749,1.1588040590286255,,,
0,1799,0.9992140531539917,,,
0,1849,0.9855839014053345,,,
0,1899,1.0557796955108643,,,
0,1949,0.37274232506752014,,,
0,1999,0.61546391248703,,,
0,2049,1.5503226518630981,,,
0,2099,1.537340760231018,,,
0,2149,0.49543821811676025,,,
0,2199,1.1005405187606812,,,
0,2249,0.7680936455726624,,,
0,2299,1.0070736408233643,,,
0,2349,0.7753971815109253,,,
0,2399,0.593065619468689,,,
0,2449,1.1470227241516113,,,
0,2499,1.166161060333252,,,
0,2549,0.4196276366710663,,,
0,2599,0.7764267921447754,,,
0,2649,1.1547281742095947,,,
0,2699,0.9884592294692993,,,
0,2749,0.782466471195221,,,
0,2799,0.5020036101341248,,,
0,2849,0.5488705039024353,,,
0,2899,0.5555596947669983,,,
0,2949,0.6106670498847961,,,
0,2999,0.5703795552253723,,,
0,3049,1.4609624147415161,,,
0,3099,1.0504913330078125,,,
0,3149,0.7801856398582458,,,
,0,,0.53125,,
,1,,0.34375,,
,2,,0.5,,
,3,,0.53125,,
,4,,0.4375,,
,5,,0.4375,,
,6,,0.4375,,
,7,,0.46875,,
,8,,0.4375,,
,9,,0.5,,
