train_loss_step,epoch,step,test_acc_step,test_acc_epoch,train_loss_epoch
1.1173096895217896,0,49,,,
0.32901710271835327,0,99,,,
0.3053103983402252,0,149,,,
1.047900676727295,0,199,,,
1.2620620727539062,0,249,,,
0.3283059298992157,0,299,,,
1.0227181911468506,0,349,,,
0.6204926371574402,0,399,,,
0.3187932074069977,0,449,,,
0.18837475776672363,0,499,,,
1.4928491115570068,0,549,,,
0.7984179258346558,0,599,,,
1.6557906866073608,0,649,,,
0.5653418302536011,0,699,,,
0.5990005731582642,0,749,,,
0.7794475555419922,0,799,,,
1.1884394884109497,0,849,,,
0.2823908030986786,0,899,,,
0.5211962461471558,0,949,,,
0.9942315816879272,0,999,,,
0.7719249725341797,0,1049,,,
0.5011611580848694,0,1099,,,
0.4546705484390259,0,1149,,,
1.10661780834198,0,1199,,,
0.5592639446258545,0,1249,,,
1.3198283910751343,0,1299,,,
0.3563082814216614,0,1349,,,
1.0039724111557007,0,1399,,,
0.6527347564697266,0,1449,,,
0.7877036929130554,0,1499,,,
0.7565227746963501,0,1549,,,
0.4977140724658966,0,1599,,,
0.8581327795982361,0,1649,,,
0.6423357129096985,0,1699,,,
0.4030497968196869,0,1749,,,
0.7758287191390991,0,1799,,,
0.366046279668808,0,1849,,,
0.4315517842769623,0,1899,,,
1.1892468929290771,0,1949,,,
0.22598400712013245,0,1999,,,
1.0159457921981812,0,2049,,,
0.25784170627593994,0,2099,,,
0.7669622898101807,0,2149,,,
0.6091228723526001,0,2199,,,
0.3506334125995636,0,2249,,,
0.25259456038475037,0,2299,,,
1.086772084236145,0,2349,,,
0.7879472970962524,0,2399,,,
0.707548975944519,0,2449,,,
1.0592873096466064,0,2499,,,
2.306108236312866,0,2549,,,
1.0794041156768799,0,2599,,,
1.165645718574524,0,2649,,,
0.6640917658805847,0,2699,,,
1.840308666229248,0,2749,,,
0.28012746572494507,0,2799,,,
0.3913743197917938,0,2849,,,
1.036781907081604,0,2899,,,
1.1109858751296997,0,2949,,,
0.5952014923095703,0,2999,,,
0.7768958806991577,0,3049,,,
0.35200944542884827,0,3099,,,
0.4351828098297119,0,3149,,,
