step,epoch,train_loss_step,test_acc_step,test_acc_epoch,train_loss_epoch
49,0,0.5404448509216309,,,
99,0,0.6952846050262451,,,
149,0,0.9334686994552612,,,
199,0,0.39423227310180664,,,
249,0,0.1439184844493866,,,
299,0,0.5122860670089722,,,
349,0,0.3056268095970154,,,
399,0,0.27934500575065613,,,
449,0,0.265885591506958,,,
499,0,0.4636930823326111,,,
549,0,0.4622436463832855,,,
599,0,0.15321706235408783,,,
649,0,0.6859350204467773,,,
699,0,0.2627270221710205,,,
749,0,0.9776678085327148,,,
799,0,0.2665071487426758,,,
849,0,0.3907327651977539,,,
899,0,0.5880708694458008,,,
949,0,0.741550624370575,,,
999,0,0.2728573977947235,,,
1049,0,0.47692686319351196,,,
1099,0,0.5053838491439819,,,
1149,0,0.4779741168022156,,,
1199,0,0.45132172107696533,,,
1249,0,0.3901028037071228,,,
1299,0,0.39639216661453247,,,
1349,0,0.2468792349100113,,,
1399,0,0.4131585359573364,,,
1449,0,0.45309096574783325,,,
1499,0,0.9442973732948303,,,
1549,0,0.29993653297424316,,,
1599,0,0.5588507652282715,,,
1649,0,0.22905056178569794,,,
1699,0,0.32755783200263977,,,
1749,0,0.6173149347305298,,,
1799,0,1.3245985507965088,,,
1849,0,1.0954293012619019,,,
1899,0,0.5577379465103149,,,
1949,0,0.3957829177379608,,,
1999,0,0.6139207482337952,,,
2049,0,1.0940799713134766,,,
2099,0,0.33199116587638855,,,
2149,0,0.6690143346786499,,,
2199,0,0.41131049394607544,,,
2249,0,1.302264928817749,,,
2299,0,0.3717727065086365,,,
2349,0,0.3905144929885864,,,
2399,0,1.4816597700119019,,,
2449,0,0.780747652053833,,,
2499,0,0.27987438440322876,,,
2549,0,0.5674344897270203,,,
2599,0,0.5731237530708313,,,
2649,0,1.0344367027282715,,,
2699,0,0.26830410957336426,,,
2749,0,0.4069885015487671,,,
2799,0,0.3003946542739868,,,
2849,0,0.9759809970855713,,,
2899,0,0.3905826807022095,,,
2949,0,0.16729134321212769,,,
2999,0,0.28435373306274414,,,
3049,0,0.5889455080032349,,,
3099,0,0.39540839195251465,,,
3149,0,0.6107997894287109,,,
0,,,0.703125,,
1,,,0.703125,,
2,,,0.6875,,
3,,,0.734375,,
4,,,0.75,,
5,,,0.765625,,
6,,,0.703125,,
7,,,0.59375,,
8,,,0.703125,,
9,,,0.84375,,
10,,,0.78125,,
11,,,0.640625,,
12,,,0.84375,,
13,,,0.828125,,
14,,,0.84375,,
15,,,0.796875,,
16,,,0.9696969985961914,,
3165,0,,,0.7521286606788635,
3165,0,,,,0.5206030607223511
3199,1,0.5359821319580078,,,
3249,1,0.27739840745925903,,,
3299,1,0.5228874683380127,,,
3349,1,0.5382192134857178,,,
3399,1,0.30573296546936035,,,
3449,1,0.18713681399822235,,,
3499,1,0.39367732405662537,,,
3549,1,0.3918187618255615,,,
3599,1,0.4644940197467804,,,
3649,1,0.3034612834453583,,,
3699,1,0.21566666662693024,,,
3749,1,0.2758692502975464,,,
3799,1,0.39014050364494324,,,
3849,1,0.9192275404930115,,,
3899,1,0.4010000228881836,,,
3949,1,1.0447124242782593,,,
3999,1,0.6176373362541199,,,
4049,1,0.3922783434391022,,,
4099,1,0.30420157313346863,,,
4149,1,0.5598779916763306,,,
4199,1,0.5217479467391968,,,
4249,1,0.9081268310546875,,,
4299,1,0.544524610042572,,,
4349,1,0.5016357898712158,,,
4399,1,0.27614590525627136,,,
4449,1,0.6212016940116882,,,
4499,1,1.2029610872268677,,,
4549,1,0.5767433047294617,,,
4599,1,0.23221458494663239,,,
4649,1,0.6499717235565186,,,
4699,1,0.2710062265396118,,,
4749,1,0.2673260271549225,,,
4799,1,0.48784172534942627,,,
4849,1,1.4904838800430298,,,
4899,1,0.4351213872432709,,,
4949,1,0.24107636511325836,,,
4999,1,0.44311821460723877,,,
5049,1,0.9118006229400635,,,
5099,1,0.4164755940437317,,,
5149,1,0.27915218472480774,,,
5199,1,0.5635074377059937,,,
5249,1,1.0717549324035645,,,
5299,1,0.6872134208679199,,,
5349,1,0.4034985899925232,,,
5399,1,0.21268276870250702,,,
5449,1,0.4158337116241455,,,
5499,1,0.4218079745769501,,,
5549,1,0.3928280472755432,,,
5599,1,0.5721023678779602,,,
5649,1,0.6422072052955627,,,
5699,1,0.4667748808860779,,,
5749,1,1.3829354047775269,,,
5799,1,0.3936254382133484,,,
5849,1,0.6516591310501099,,,
5899,1,1.2092361450195312,,,
5949,1,0.24528448283672333,,,
5999,1,0.29535648226737976,,,
6049,1,0.4594002962112427,,,
6099,1,0.4475840926170349,,,
6149,1,0.9456692934036255,,,
6199,1,0.3834412097930908,,,
6249,1,0.30274757742881775,,,
6299,1,0.7114861607551575,,,
17,,,0.671875,,
18,,,0.625,,
19,,,0.671875,,
20,,,0.578125,,
21,,,0.671875,,
22,,,0.546875,,
23,,,0.609375,,
24,,,0.5625,,
25,,,0.703125,,
26,,,0.78125,,
27,,,0.734375,,
28,,,0.734375,,
29,,,0.75,,
30,,,0.625,,
31,,,0.734375,,
32,,,0.53125,,
33,,,0.6666666865348816,,
6331,1,,,0.6584673523902893,
6331,1,,,,0.9516077041626
6349,2,0.26880428194999695,,,
6399,2,0.6272931098937988,,,
6449,2,0.3950628638267517,,,
6499,2,0.5316922664642334,,,
6549,2,0.6005668640136719,,,
6599,2,0.49873560667037964,,,
6649,2,0.4126112461090088,,,
6699,2,1.0303062200546265,,,
6749,2,0.2398138791322708,,,
6799,2,0.24172209203243256,,,
6849,2,0.9334985613822937,,,
6899,2,0.4229646921157837,,,
6949,2,0.9390842914581299,,,
6999,2,1.0853731632232666,,,
7049,2,0.5337369441986084,,,
7099,2,0.39528021216392517,,,
7149,2,0.4010568857192993,,,
7199,2,0.27303555607795715,,,
7249,2,0.41205108165740967,,,
7299,2,0.5313045978546143,,,
7349,2,0.7356665134429932,,,
7399,2,0.5108904838562012,,,
7449,2,0.4252476692199707,,,
7499,2,0.2937948405742645,,,
7549,2,0.40332984924316406,,,
7599,2,0.46061766147613525,,,
7649,2,0.39802905917167664,,,
7699,2,0.5449227094650269,,,
7749,2,1.4246842861175537,,,
7799,2,0.2785123884677887,,,
7849,2,0.5703950524330139,,,
7899,2,0.4227793216705322,,,
7949,2,0.4326334297657013,,,
7999,2,0.22399520874023438,,,
8049,2,0.5598760843276978,,,
8099,2,0.246512308716774,,,
8149,2,0.7048212885856628,,,
8199,2,0.15860486030578613,,,
8249,2,0.4184412360191345,,,
8299,2,0.3929486572742462,,,
8349,2,0.3132622241973877,,,
8399,2,0.2735536992549896,,,
8449,2,0.2306700497865677,,,
8499,2,0.4240671992301941,,,
8549,2,0.2960050702095032,,,
8599,2,0.3885597288608551,,,
8649,2,0.3898867666721344,,,
8699,2,0.46418800950050354,,,
